Name, School
Gary Collier,	Tulsa
Shawnelle Scott,	St. John's (NY)
Damon Bailey,	Indiana
Dwayne Morton,	Louisville
Voshon Lenard,	Minnesota
Jamie Watson,	South Carolina
Jevon Crudup,	Missouri
Kris Bruton,	Benedict
Charles Claxton,	Georgia
Lawrence Funderburke,	Ohio State
Anthony Goldwire,	Houston
Albert Burditt,	Texas
Zeljko Rebraca,	KK Partizan (Serbia)
Chris Webber,	Michigan
Shawn Bradley,	Brigham Young
Anfernee Hardaway,	Memphis
Jamal Mashburn,	Kentucky
Isaiah Rider,	Nevada-Las Vegas
Calbert Cheaney,	Indiana
Bobby Hurley,	Duke
Vin Baker,	Hartford
Rodney Rogers,	Wake Forest
Lindsey Hunter,	Jackson State
Allan Houston,	Tennessee
George Lynch,	North Carolina
Terry Dehere,	Seton Hall
Scott Haskin,	Oregon State
Doug Edwards,	Florida State
Rex Walters,	Kansas
Greg Graham,	Indiana
Luther Wright,	Seton Hall
Acie Earl,	Iowa
Scott Burrell,	Connecticut
James Robinson,	Alabama
Chris Mills,	Arizona
Ervin Johnson,	New Orleans
Sam Cassell,	Florida State
Corie Blount,	Cincinnati
Geert Hammink,	Louisiana State
Malcolm Mackey,	Georgia Tech
Lucious Harris,	Long Beach State
Sherron Mills,	Virginia Commonwealth
Gheorghe Muresan,	Elan Bearnais Pau-Orthez (France)
Evers Burns,	Maryland
Alphonso Ford,	Mississippi Valley State
Eric Riley,	Michigan
Darnell Mee,	Western Kentucky
Ed Stokes,	Arizona
John Best,	Tennessee Tech
Nick Van Exel,	Cincinnati
Conrad McRae,	Syracuse
Thomas Hill,	Duke
Richard Manning,	Washington
Anthony Reed,	Tulane
Adonis Jordan,	Kansas
Josh Grant,	Utah
Alex Holcombe,	Baylor
Bryon Russell,	Long Beach State
Richard Petruska,	California-Los Angeles
Chris Whitney,	Clemson
Kevin Thompson,	North Carolina State
Mark Buford,	Mississippi Valley State
Marcelo Nicola,	Saski Baskonia (Spain)
Spencer Dunkley,	Delaware
Mike Peplowski,	Michigan State
Leonard White,	Southern University
Byron Wilson,	Utah
Shaquille O'Neal,	Louisiana State
Alonzo Mourning,	Georgetown
Christian Laettner,	Duke
Jim Jackson,	Ohio State
LaPhonso Ellis,	Notre Dame
Tom Gugliotta,	North Carolina State
Walt Williams,	Maryland
Todd Day,	Arkansas
Clar. Weatherspoon,	Southern Mississippi
Adam Keefe,	Stanford
Robert Horry,	Alabama
Harold Miner,	Southern California
Bryant Stith,	Virginia
Malik Sealy,	St. John's (NY)
Anthony Peeler,	Missouri
Randy Woods,	La Salle
Doug Christie,	Pepperdine
Tracy Murray,	California-Los Angeles
Don MacLean,	California-Los Angeles
Hubert Davis,	North Carolina
Jon Barry,	Georgia Tech
Oliver Miller,	Arkansas
Lee Mayberry,	Arkansas
Latrell Sprewell,	Alabama
Elmore Spencer,	Nevada-Las Vegas
Dave Johnson,	Syracuse
Byron Houston,	Oklahoma State
Marlon Maxey,	Texas-El Paso
P.J. Brown,	Louisiana Tech
Sean Rooks,	Arizona
Reggie Smith,	Texas Christian
Brent Price,	Oklahoma
Corey Williams,	Oklahoma State
Chris Smith,	Connecticut
Tony Bennett,	Wisconsin-Green Bay
Duane Cooper,	Southern California
Isaiah Morris,	Arkansas
Elmer Bennett,	Notre Dame
Litterial Green,	Georgia
Steve Rogers,	Alabama State
Popeye Jones,	Murray State
Matt Geiger,	Georgia Tech
Sasha Danilovic,	KK Partizan (Serbia)
Henry Williams,	North Carolina-Charlotte
Chris King,	Wake Forest
Robert Werdann,	St. John's (NY)
Darren Morningstar,	Pittsburgh
Brian Davis,	Duke
Ron Ellis,	Louisiana Tech
Matt Fish,	North Carolina-Wilmington
Tim Burroughs,	Jacksonville
Matt Steigenga,	Michigan State
Curtis Blair,	Richmond
Brett Roberts,	Morehead State
Larry Johnson,	Nevada-Las Vegas
Kenny Anderson,	Georgia Tech
Billy Owens,	Syracuse
Dikembe Mutombo,	Georgetown
Steven Smith,	Michigan State
Doug Smith,	Missouri
Luc Longley,	New Mexico
Mark Macon,	Temple
Stacey Augmon,	Nevada-Las Vegas
Bison Dele,	Arizona
Terrell Brandon,	Oregon
Greg Anthony,	Nevada-Las Vegas
Dale Davis,	Clemson
Rich King,	Nebraska
Anthony Avent,	Seton Hall
Chris Gatling,	Old Dominion
Victor Alexander,	Iowa State
Kevin Brooks,	Louisiana-Lafayette
Labradford Smith,	Louisville
John Turner,	Phillips
Eric Murdock,	Providence
LeRon Ellis,	Syracuse
Stanley Roberts,	Louisiana State
Rick Fox,	North Carolina
Shaun Vandiver,	Colorado
Mark Randall,	Kansas
Pete Chilcutt,	North Carolina
Kevin Lynch,	Minnesota
George Ackles,	Nevada-Las Vegas
Rodney Monroe,	North Carolina State
Randy Brown,	New Mexico State
Chad Gallagher,	Creighton
Donald Hodge,	Temple
Myron Brown,	Slippery Rock
Mike Iuzzolino,	Saint Francis (PA)
Chris Corchiani,	North Carolina State
Elliot Perry,	Memphis
Joe Wylie,	Miami (FL)
Jimmy Oliver,	Purdue
Doug Overton,	La Salle
Sean Green,	Iona
Steve Hood,	James Madison
Lamont Strothers,	Christopher Newport
Alvaro Teheran,	Houston
Bobby Phills,	Southern University
Richard Dumas,	Oklahoma State
Keith Hughes,	Rutgers
Ike Austin,	Arizona State
Greg Sutton,	Oral Roberts
Joey Wright,	Texas
Zan Tabak,	KK Split (Croatia)
Anthony Jones,	Oral Roberts
Von McDade,	Milwaukee
Marcus Kennedy,	Eastern Michigan
Derrick Coleman,	Syracuse
Gary Payton,	Oregon State
Mahmoud Abdul-Rauf,	Louisiana State
Dennis Scott,	Georgia Tech
Kendall Gill,	Illinois
Felton Spencer,	Louisville
Lionel Simmons,	La Salle
Bo Kimble,	Loyola-Marymount
Willie Burton,	Minnesota
Rumeal Robinson,	Michigan
Tyrone Hill,	Xavier
Alec Kessler,	Georgia
Loy Vaught,	Michigan
Travis Mays,	Texas
Dave Jamerson,	Ohio
Terry Mills,	Michigan
Jerrod Mustaf,	Maryland
Duane Causwell,	Temple
Dee Brown,	Jacksonville
Gerald Glass,	Mississippi
Jayson Williams,	St. John's (NY)
Tate George,	Connecticut
Anthony Bonner,	Saint Louis
Dwayne Schintzius,	Florida
Alaa Abdelnaby,	Duke
Lance Blanks,	Texas
Elden Campbell,	Clemson
Les Jepsen,	Iowa
Toni Kukoc,	Universo Treviso Basket (Italy)
Carl Herrera,	Houston
Negele Knight,	Dayton
Brian Oliver,	Georgia Tech
Walter Palmer,	Dartmouth
Kevin Pritchard,	Kansas
Greg Foster,	Texas-El Paso
Trevor Wilson,	California-Los Angeles
A.J. English,	Virginia Union
Jud Buechler,	Arizona
Steve Scheffler,	Purdue
Bimbo Coles,	Virginia Tech
Stephen Bardo,	Illinois
Marcus Liberty,	Illinois
Tony Massenburg,	Maryland
Steve Henson,	Kansas State
Antonio Davis,	Texas-El Paso
Kenny Williams,	Elizabeth City State
Derek Strong,	Xavier
Cedric Ceballos,	Cal State-Fullerton
Phil Henderson,	Duke
Milos Babic,	Tennessee Tech
Tony Smith,	Marquette
Stefano Rusconi,	Pallacanestro Varese (Italy)
Abdul Shamsid-Deen,	Providence
Sean Higgins,	Michigan
Pervis Ellison,	Louisville
Danny Ferry,	Duke
Sean Elliott,	Arizona
Glen Rice,	Michigan
J.R. Reid,	North Carolina
Stacey King,	Oklahoma
George McCloud,	Florida State
Randy White,	Louisiana Tech
Tom Hammonds,	Georgia Tech
Pooh Richardson,	California-Los Angeles
Nick Anderson,	Illinois
Mookie Blaylock,	Oklahoma
Michael Smith,	Brigham Young
Tim Hardaway,	Texas-El Paso
Todd Lichti,	Stanford
Dana Barros,	Boston College
Shawn Kemp,	Trinity Valley Community College
B.J. Armstrong,	Iowa
Kenny Payne,	Louisville
Jeff Sanders,	Georgia Southern
Blue Edwards,	East Carolina
Byron Irvin,	Missouri
Roy Marble,	Iowa
Anthony Cook,	Arizona
John Morton,	Seton Hall
Vlade Divac,	KK Partizan (Serbia)
Kenny Battle,	Illinois
Sherman Douglas,	Syracuse
Dyron Nix,	Tennessee
Frank Kornet,	Vanderbilt
Jeff Martin,	Murray State
Stanley Brundy,	DePaul
Jay Edwards,	Indiana
Gary Leonard,	Missouri
Pat Durham,	Colorado State
Clifford Robinson,	Connecticut
Michael Ansley,	Alabama
Doug West,	Villanova
Ed Horton,	Iowa
Dino Radja,	KK Split (Croatia)
Doug Roth,	Tennessee
Michael Cutright,	McNeese State
Chucky Brown,	North Carolina State
Reggie Cross,	Hawaii
Scott Haffner,	Evansville
Ricky Blanton,	Louisiana State
Reggie Turner,	Alabama-Birmingham
Junie Lewis,	South Alabama
Haywoode Workman,	Oral Roberts
Brian Quinnett,	Washington State
Mike Morrison,	Loyola-Maryland
Greg Grant,	College of New Jersey
Jeff Hodge,	South Alabama
Toney Mack,	Georgia
Danny Manning,	Kansas
Rik Smits,	Marist
Charles Smith,	Pittsburgh
Chris Morris,	Auburn
Mitch Richmond,	Kansas State
Hersey Hawkins,	Bradley
Tim Perry,	Temple
Rex Chapman,	Kentucky
Rony Seikaly,	Syracuse
Willie Anderson,	Georgia
Will Perdue,	Vanderbilt
Harvey Grant,	Oklahoma
Jeff Grayer,	Iowa State
Dan Majerle,	Central Michigan
Gary Grant,	Michigan
Derrick Chievous,	Missouri
Eric Leckner,	Wyoming
Ricky Berry,	San Jose State
Rod Strickland,	DePaul
Kevin Edwards,	DePaul
Mark Bryant,	Seton Hall
Randolph Keys,	Southern Mississippi
Jerome Lane,	Pittsburgh
Brian Shaw,	California-Santa Barbara
David Rivers,	Notre Dame
Rolando Ferreira,	Houston
Shelton Jones,	St. John's (NY)
Andrew Lang,	Arkansas
Vinny Del Negro,	North Carolina State
Fennis Dembo,	Wyoming
Everette Stephens,	Purdue
Charles Shackleford,	North Carolina State
Grant Long,	Eastern Michigan
Tom Tolbert,	Arizona
Sylvester Gray,	Memphis
Ledell Eackles,	New Orleans
Greg Butler,	Stanford
Dean Garrett,	Indiana
Tito Horford,	Miami (FL)
Orlando Graham,	Auburn
Keith Smart,	Indiana
Jeff Moe,	Iowa
Todd Mitchell,	Purdue
Anthony Taylor,	Oregon
Tom Garrick,	Rhode Island
Morlon Wiley,	Long Beach State
Vernon Maxwell,	Florida
Micheal Williams,	Baylor
Jose Vargas,	Louisiana State
Steve Kerr,	Arizona
Robert Lock,	Kentucky
Derrick Hamilton,	Southern Mississippi
Anthony Mason,	Tennessee State
Jorge Gonzalez,	Sport Club Canadense (Argentina)
Rodney Johns,	Grand Canyon
Barry Sumpter,	Austin Peay
Herman Montenegro,	Louisiana State
Jeff Moore,	Auburn
Nate Johnston,	Tampa
Ed Davender,	Kentucky
Herbert Crook,	Louisville
Derrick Lewis,	Maryland
Mike Jones,	Auburn
Winston Bennett,	Kentucky
Corey Gaines,	Loyola-Marymount
Dwight Boyd,	Memphis
Ricky Grace,	Oklahoma
Darryl Middleton,	Baylor
Phil Stinnie,	Virginia Commonwealth
Jerry Johnson,	Florida Southern
Craig Neal,	Georgia Tech
Lee Johnson,	Norfolk State
Michael Anderson,	Drexel
Gerald Paddio,	Nevada-Las Vegas
Archie Marshall,	Kansas
David Robinson,	Navy
Armen Gilliam,	Nevada-Las Vegas
Dennis Hopson,	Ohio State
Reggie Williams,	Georgetown
Scottie Pippen,	Central Arkansas
Kenny Smith,	North Carolina
Kevin Johnson,	California
Olden Polynice,	Virginia
Derrick McKey,	Alabama
Horace Grant,	Clemson
Reggie Miller,	California-Los Angeles
Muggsy Bogues,	Wake Forest
Joe Wolf,	North Carolina
Tellis Frank,	Western Kentucky
Jose Ortiz,	Oregon State
Chris Welp,	Washington
Ronnie Murphy,	Jacksonville
Mark Jackson,	St. John's (NY)
Ken Norman,	Illinois
Jim Farmer,	Alabama
Dallas Comegys,	DePaul
Reggie Lewis,	Northeastern
Greg Anderson,	Houston
Fred Banks,	Nevada-Las Vegas
Ron Moore,	West Virginia State
Steve Alford,	Indiana
Nate Blackwell,	Temple
Rickie Winslow,	Houston
Lester Fonville,	Jackson State
Nikita Wilson,	Louisiana State
Andre Moore,	Loyola-Chicago
Bob McCann,	Morehead State
Tony White,	Tennessee
Brian Rowsom,	North Carolina-Wilmington
Doug Lee,	Purdue
Duane Washington,	Middle Tennessee State
Derrick Dowell,	Southern California
Norris Coleman,	Kansas State
Vincent Askew,	Memphis
Winston Garland,	Missouri State
Kannard Johnson,	Western Kentucky
Terence Bailey,	Wagner
Andrew Kennedy,	Virginia
Terry Coner,	Alabama
Brad Lohaus,	Iowa
Bruce Dalrymple,	Georgia Tech
Tim McCalister,	Oklahoma
Jamie Waller,	Virginia Union
Jerome Batiste,	McNeese State
Phil Zevenbergen,	Washington
Sven Myer,	Oregon
Donald Royal,	Notre Dame
Winston Crite,	Texas A&M
Tom Schafer,	Iowa State
Tommy Amaker,	Duke
John Fox,	Millersville
Hansi Gnad,	Alaska-Anchorage
Darryl Johnson,	Michigan State
Danny Pearson,	Jacksonville
Sean Couch,	Columbia
Clarence Martin,	Western Kentucky
Eric Riggins,	Rutgers
Kevin Gamble,	Iowa
J. J. Weber,	Wisconsin
Eric White,	Pepperdine
Mike Richmond,	Texas-El Paso
Song Tao,	Basketball Association of the People's Republic of China (China)
Billy Donovan,	Providence
Willie Glass,	St. John's (NY)
Tom Sheehey,	Virginia
Mike Morgan,	Drake
Andrew Moten,	Florida
Todd May,	Pikeville
Joe Arlauckas,	Niagara
Chris Dudley,	Yale
Steve Beck,	Arizona State
David Boone,	Marquette
Todd Linder,	Tampa
Jack Haley,	California-Los Angeles
Carven Holcomb,	Texas Christian
Scott Thompson,	San Diego
Joe Niego,	Lewis
Benny Bolton,	North Carolina State
Reuben Holmes,	Alabama State
Brian Rahilly,	Tulsa
Norwood Barber,	Florida State
Darryl Bedford,	Austin Peay
Dave Popson,	North Carolina
David Johnson,	Oklahoma
Theofanis Christodoulou,	Panionios B.C. (Greece)
Darryl Kennedy,	Oklahoma
Ralph Tally,	Norfolk State
Chad Kessler,	Georgia
James Blackmon,	Kentucky
Glenn Clem,	Vanderbilt
Dennis Williams,	Georgia
Vernon Carr,	Michigan State
Carl Lott,	Texas Christian
Brent Counts,	Pacific
Ronnie Grandison,	New Orleans
Michael Tait,	Clemson
Anthony Wilson,	Louisiana State
Mike Milling,	North Carolina-Charlotte
Andre LaFleur,	Northeastern
Terry Williams,	Southern Methodist
Patrick Fairs,	Texas
Bart Kofoed,	Nebraska-Kearney
Frank Ross,	American
David Moss,	Tulsa
Brian Vaughns,	California-Santa Barbara
Gerry Wright,	Iowa
Sam Hill,	Iowa State
Jose Antonio Montero,	Joventut Badalona (Spain)
Dave Butler,	California
Kenny Travis,	New Mexico State
Martin Nessley,	Duke
Howard Triche,	Syracuse
Perry Bromwell,	Pennsylvania
Ricky Brown,	South Alabama
Darryl Thomas,	Indiana
Harold Jensen,	Villanova
Marcel Boyce,	Akron
Kelvin Scarborough,	New Mexico
Tom Gneiting,	Brigham Young
Doug Altenberger,	Illinois
Gary Graham,	Nevada-Las Vegas
Sarunas Marciulionis,	BC Statyba (Lithuania)
Dwayne Scholten,	Washington State
Fred Jenkins,	Tennessee
Art Sabb,	Bloomfield
Tracy Foster,	Alabama-Birmingham
Bernard Johnson,	Loyola-Chicago
Gay Elmore,	Virginia Military Institute
Antoine Joubert,	Michigan
Quintan Gates,	Texas-El Paso
Riccardo Morandotti,	Auxilium Pallacanestro Torino (Italy)
Tim Naegeli,	Wisconsin-Stevens Point
Frank Ford,	Auburn
Henry Carr,	Wichita State
Frank Booker,	Bowling Green
Wayne Williams,	Saint Joseph's
Raynard Davis,	Texas
Scott Adubato,	Upsala
Michael Foster,	South Carolina
Roy Singleton,	Grand Canyon
Rowan Gomes,	Hampton
Mike Giomi,	North Carolina State
Earvin Leavy,	Central Michigan
Montel Hatcher,	California-Los Angeles
Jamie Dixon,	Texas Christian
Clarence Grier,	Campbell
Ronnie Leggette,	West Virginia State
Keith Webster,	Harvard
Eric Semisch,	West Virginia
Kenny Stone,	George Fox
Curtis Hunter,	North Carolina
Mark Gottfried,	Alabama
Gerald White,	Auburn
Franjo Arapovic,	KK Cibona (Croatia)
Jerry Corcoran,	Northeastern
Ron Vanderschaaf,	Central Washington
Brad Daugherty,	North Carolina
Len Bias,	Maryland
Chris Washburn,	North Carolina State
Chuck Person,	Auburn
Kenny Walker,	Kentucky
William Bedford,	Memphis
Roy Tarpley,	Michigan
Ron Harper,	Miami (OH)
Brad Sellers,	Ohio State
Johnny Dawkins,	Duke
John Salley,	Georgia Tech
John Williams,	Louisiana State
Dwayne Washington,	Syracuse
Walter Berry,	St. John's (NY)
Dell Curry,	Virginia Tech
Mo Martin,	Saint Joseph's
Harold Pressley,	Villanova
Mark Alarie,	Duke
Billy Thompson,	Louisville
Buck Johnson,	Alabama
Anthony Jones,	Nevada-Las Vegas
Scott Skiles,	Michigan State
Ken Barlow,	Notre Dame
Arvydas Sabonis,	BC Zalgiris (Lithuania)
Mark Price,	Georgia Tech
Greg Dreiling,	Kansas
Dennis Rodman,	Southeastern Oklahoma State
Larry Krystkowiak,	Montana
Johnny Newman,	Richmond
Nate McMillan,	North Carolina State
Joe Ward,	Georgia
Cedric Henderson,	Georgia
Kevin Duckworth,	Eastern Illinois
Johnny Rogers,	California-Irvine
Milt Wagner,	Louisville
Steve Mitchell,	Alabama-Birmingham
Parragiotis Fasoulas,	North Carolina State
Lemone Lampley,	DePaul
Rafael Addison,	Syracuse
Augusto Binelli,	Virtus Pallacanestro Bologna (Italy)
Otis Smith,	Jacksonville
Ron Kellogg,	Kansas
Dave Feitl,	Texas-El Paso
David Wingate,	Georgetown
Keith Smith,	Loyola-Marymount
Jeff Hornacek,	Iowa State
Michael Jackson,	Georgetown
Forrest McKenzie,	Loyola-Marymount
Juden Smith,	Texas-El Paso
Kevin Henderson,	Cal State-Fullerton
Mike Williams,	Bradley
Ricky Wilson,	George Mason
Tod Murphy,	California-Irvine
Dwayne Polee,	Pepperdine
Kenny Gattison,	Old Dominion
Keith Colbert,	Virginia Tech
Bruce Douglas,	Illinois
Dave Henderson,	Duke
Wendell Alexis,	Syracuse
Drazen Petrovic,	KK Cibona (Croatia)
John Shasky,	Minnesota
Anthony Welch,	Illinois
Bill Breeding,	Rocky Mountain
Don Redden,	Louisiana State
Dave Hoppen,	Nebraska
Anthony Bowie,	Oklahoma
Ron Rowan,	St. John's (NY)
Baskerville Holmes,	Memphis
Andre Turner,	Memphis
Jim Les,	Bradley
Calvin Thompson,	Kansas
Derrick Taylor,	Louisiana State
Warren Martin,	North Carolina
Scott Meents,	Illinois
Dan Bingenheimer,	Missouri
Michael Graham,	Georgetown
Grant Gondrezick,	Pepperdine
John Brownlee,	Texas
Carlos Briggs,	Baylor
Alvin Franklin,	Houston
Steve Hale,	North Carolina
Barry Mungar,	St. Bonaventure
David Shaffer,	Florida State
Marty Embry,	DePaul
Myron Jackson,	Arkansas-Little Rock
Chauncey Robinson,	Mississippi State
Anthony Watson,	San Diego State
Efrem Winters,	Illinois
Conner Henry,	California-Santa Barbara
Wes Stallings,	East Tennessee State
Bob Beecher,	Virginia Tech
Dale Blaney,	West Virginia
Tony Benford,	Texas Tech
Jerome Mincey,	Alabama-Birmingham
Richard Rellford,	Michigan
Ben Davis,	Gardner-Webb
Clinton Smith,	Cleveland State
Jimmy Gilbert,	Texas A&M
Dominic Pressley,	Boston College
Steffond Johnson,	San Diego State
Greg Spurling,	Carson-Newman
Earl Kelley,	Connecticut
Keith Morrison,	Washington State
Paul Fortier,	Washington
Archie Johnson,	Alabama-Birmingham
Jerry Adams,	Oregon
Kerry Boagni,	Cal State-Fullerton
Jay Bilas,	Duke
Clarence Hanley,	Old Dominion
Jon Collins,	Eastern Illinois
Nicky Jones,	Virginia Commonwealth
Andre Banks,	Iowa
Kevin Holmes,	DePaul
Bobby Deaton,	Southwestern (TX)
Roger Harden,	Kentucky
Dave Colbert,	Dayton
Butch Wade,	Michigan
Jeff Hall,	Louisville
Gilbert Wilburn,	New Mexico State
Pete Myers,	Arkansas-Little Rock
Bobby Lee Hurt,	Alabama
Curtis Kitchen,	South Florida
Jim McCaffrey,	Holy Cross
Tim Kempton,	Notre Dame
Kevin Lewis,	Southern Methodist
John Flowers,	Nevada-Las Vegas
Troy Webster,	George Washington
Lorenzo Duncan,	Sam Houston State
Tony Hampton,	Montana State
Chuck Everson,	Villanova
Greg Anderson,	Lamar
Greg Grant,	Utah State
Anthony Frederick,	Pepperdine
Alexander Volkov,	BC Budivelnyk (Ukraine)
Robert Worthy,	Chancellor
Andre McCloud,	Seton Hall
John Kimbrell,	Lipscomb
Walter Downing,	Marquette
Greg Wendt,	Detroit Mercy
Duane Kendall,	South Carolina
Steve Woodside,	Oregon State
Ralph Dalton,	Georgetown
Steve Kenilvort,	Santa Clara
Robert Henderson,	Michigan
Glen McCants,	Clemson
Johnny Brown,	New Mexico
Damon Goodwin,	Dayton
Michael Anderson,	Texas-Pan American
Ron Rankin,	Southeast Missouri State
Joe Price,	Notre Dame
Jim Dolan,	Notre Dame
Randy Schiff,	Linfield
Mark Mitchell,	Hartford
Kim Cooksey,	Middle Tennessee State
Larry Polec,	Michigan State
Mike Marshall,	McNeese State
Valeri Tikhonenko,	PBC CSKA Moscow (Russia)
Rick Olson,	Wisconsin
Dan Palombizio,	Ball State
Jeff Strong,	Missouri
Mark Coleman,	Mississippi Valley State
Tom Ivey,	Boston University
Patrick Ewing,	Georgetown
Wayman Tisdale,	Oklahoma
Benoit Benjamin,	Creighton
Xavier McDaniel,	Wichita State
Jon Koncak,	Southern Methodist
Joe Kleine,	Arkansas
Chris Mullin,	St. John's (NY)
Detlef Schrempf,	Washington
Charles Oakley,	Virginia Union
Ed Pinckney,	Villanova
Keith Lee,	Memphis
Kenny Green,	Wake Forest
Karl Malone,	Louisiana Tech
Alfredrick Hughes,	Loyola-Chicago
Blair Rasmussen,	Oregon
Bill Wennington,	St. John's (NY)
Uwe Blab,	Indiana
Joe Dumars,	McNeese State
Steve Harris,	Tulsa
Sam Vincent,	Michigan State
Terry Catledge,	South Alabama
Jerry Reynolds,	Louisiana State
A.C. Green,	Oregon State
Terry Porter,	Wisconsin-Stevens Point
Mike Smrek,	Canisius
Bill Martin,	Georgetown
Dwayne McClain,	Villanova
Ken Johnson,	Michigan State
Mike Brittain,	South Carolina
Calvin Duncan,	Virginia Commonwealth
Manute Bol,	Bridgeport
Nick Vanos,	Santa Clara
Greg Stokes,	Iowa
Aubrey Sherrod,	Wichita State
Tyrone Corbin,	DePaul
Yvon Joseph,	Georgia Tech
Carey Scurry,	Long Island-Brooklyn
Fernando Martin,	Real Madrid Baloncesto (Spain)
George Montgomery,	Illinois
Mark Acres,	Oral Roberts
Lorenzo Charles,	North Carolina State
Bobby Lee Hurt,	Alabama
Barry Stevens,	Iowa State
Voise Winters,	Bradley
Hot Rod Williams,	Tulane
Adrian Branch,	Maryland
Gerald Wilkins,	Tennessee-Chattanooga
Kenny Patterson,	DePaul
Brad Wright,	California-Los Angeles
Leonard Allen,	San Diego State
Charles Bradley,	South Florida
Anicet Lavodrama,	Houston Baptist
Rolando Lamb,	Virginia Commonwealth
Sam Mitchell,	Mercer
Herb Johnson,	Tulsa
Jerry Everett,	Lamar
Michael Payne,	Iowa
Vernon Moore,	Creighton
Sedric Toney,	Dayton
Andre Goode,	Northwestern
Perry Young,	Virginia Tech
Nigel Miguel,	California-Los Angeles
Harold Keeling,	Santa Clara
Richie Johnson,	Evansville
Ken Perry,	Southern Illinois
Michael Adams,	Boston College
Steve Black,	La Salle
Eugene McDowell,	Florida
Mike Brown,	George Washington
Andre Battle,	Loyola-Chicago
Luster Goodwin,	Texas-El Paso
Vince Hamilton,	Clemson
Fred Cofield,	Eastern Michigan
Jim Deines,	Arizona State
Alex Stivrins,	Colorado
Willie Simmons,	Louisiana Tech
Arvydas Sabonis,	BC Zalgiris (Lithuania)
Granger Hall,	Temple
Mark Davis,	Old Dominion
Craig Beard,	Samford
Richie Adams,	Nevada-Las Vegas
Scott Roth,	Wisconsin
Delaney Rudd,	Wake Forest
John Battle,	Rutgers
Joe Atkinson,	Oklahoma State
Bubba Jennings,	Texas Tech
Spud Webb,	North Carolina State
Mike Brooks,	Tennessee
Pete Williams,	Arizona
Derrick Gervin,	Texas-San Antonio
Cozell McQueen,	North Carolina State
Dexter Shouse,	South Alabama
Cliff Weber,	Liberty
Kelvin Johnson,	Richmond
Greg Cavener,	Missouri
Mike Schlegel,	Virginia Commonwealth
Lou Stefanovic,	Illinois State
Bob Lojewski,	Saint Joseph's
Wayne Carlander,	Southern California
Larry Hampton,	Hampton
Gunther Behnke,	Bayer Giants Leverkusen (Germany)
Shawn Campbell,	Weber State
Reid Gettys,	Houston
Dean Shaffer,	Florida State
Ray Hall,	Canisius
Clayton Olivier,	Southern California
James Anderson,	Union (KY)
Kelly Blaine,	South Alabama
Tommy Davis,	Minnesota
Mike Lahm,	Murray State
Ivan Daniels,	Illinois-Chicago
Kenny Brown,	Texas A&M
Carl Wright,	Southern Methodist
Ray Knight,	Providence
Timo Saarelainen,	Brigham Young
Albert Butts,	La Salle
Gerald Crosby,	Georgia
Stu Primus,	Boston College
Kent Lockhart,	Texas-El Paso
Charles Valentine,	Arkansas
Malcolm Thomas,	Missouri
Earl Walker,	Mercer
Tony Duckett,	Lafayette
Charles Rayne,	Temple
Ricky Johnson,	Illinois State
Dan Meagher,	Duke
Matt England,	Houston Baptist
Chris Harper,	Oregon
Jim Miller,	Virginia
George Almones,	Louisiana-Lafayette
Curtis Moore,	Nebraska
Carlton Cooper,	Texas
Vincent Giles,	Eastern Michigan
Sam Potter,	Oral Roberts
Joe Carrabino,	Harvard
Daryl Lloyd,	Drake
Quentin Anderson,	Texas Tech
Tony Neal,	Cal State-Fullerton
Ralph Lewis,	La Salle
Jeff Acres,	Oral Roberts
Eric Boyd,	North Carolina A&T
Ken Bantum,	Cornell
Gary Maloncon,	California-Los Angeles
Mike Phelps,	Alcorn State
Alton Lee Gipson,	Florida State
Bob Ferry,	Harvard
Buzz Peterson,	North Carolina
Georgi Glouchkov,	BC Cherno More Port Varna (Bulgaria)
Jeff Adkins,	Maryland
Keith Gray,	Detroit Mercy
Mike Wacker,	Texas-San Antonio
Al Young,	Virginia Tech
Mark Owen,	College of Idaho
Gary McLain,	Villanova
Ed Catchings,	Nevada-Las Vegas
Frank James,	Nevada-Las Vegas
Don Turney,	Marshall
Eddie Smith,	Arizona
Jaye Andrews,	Bucknell
Mario Elie,	American International
Keith Cleplicki,	William & Mary
Chris Remly,	Rutgers
Hakeem Olajuwon,	Houston
Sam Bowie,	Kentucky
Michael Jordan,	North Carolina
Sam Perkins,	North Carolina
Charles Barkley,	Auburn
Mel Turpin,	Kentucky
Alvin Robertson,	Arkansas
Lancaster Gordon,	Louisville
Otis Thorpe,	Providence
Leon Wood,	Cal State-Fullerton
Kevin Willis,	Michigan State
Tim McCormick,	Michigan
Jay Humphries,	Colorado
Michael Cage,	San Diego State
Terence Stansbury,	Temple
John Stockton,	Gonzaga
Jeff Turner,	Vanderbilt
Vern Fleming,	Georgia
Bernard Thompson,	Fresno State
Tony Campbell,	Ohio State
Kenny Fields,	California-Los Angeles
Tom Sewell,	Lamar
Earl Jones,	District of Columbia
Michael Young,	Houston
Devin Durrant,	Brigham Young
Victor Fleming,	Xavier
Ron Anderson,	Fresno State
Cory Blackwell,	Wisconsin
Stuart Gray,	California-Los Angeles
Steve Burtt,	Iona
Jay Murphy,	Boston College
Eric Turner,	Michigan
Steve Colter,	New Mexico State
Tony Costner,	Saint Joseph's
Othell Wilson,	Virginia
Charles Jones,	Louisville
Ben Coleman,	Maryland
Charlie Sitton,	Oregon State
